a,Quantifiers &articles,,a=26
a lot,Quantifiers &articles,,b=72
aboce,Prepositions &locations,,c=60
about,Prepositions &locations,,d=32
aeroplane,Vehicles,,e=9
after,Time,,f=28
all,Quantifiers &articles,,g=28
allgone, Descriptive words,,h=38
alligator,Animals,,i=10
am,Helping verbs,,j=8
an,Quantifiers &articles,,k=7
and,Conecting words,,l=24
animal,Animals,,m=28
ankle,Body parts,,n=20
another,Quantifiers &articles,,o=16
ant,Animals,,p=55
any,Quantifiers &articles,,q=2
apple,Food & Drink,,r=14
are,Helping verbs,,s=78
arm,Body parts,,t=61
around,Prepositions &locations,,u=6
asleep, Descriptive words,,v=5
at,Prepositions &locations,,w=36
auntie,People,,y=10
awake, Descriptive words,,z=2
away,Prepositions &locations,,
baa baa,sound,,
baby,People,,
babysitter,People,,
babysitter's name,People,,
back,Prepositions &locations,,
backyard,Outside things,,
bad, Descriptive words,,
ball,Toys,,
balloon,Toys,,
banana,Food & Drink,,
basket,Small household items,,
bat,Toys,,
bath,Furniture and rooms,,
bath,Games & Routines,,
bathroom,Furniture and rooms,,
be,Helping verbs,,
beach,Place to go,,
beads,Clothing,,
beans,Food & Drink,,
bear,Animals,,
because,Conecting words,,
bed,Furniture and rooms,,
bedroom,Furniture and rooms,,
bee,Animals,,
before,Time,,
behind,Prepositions &locations,,
belly button,Body parts,,
belt,Clothing,,
bench,Furniture and rooms,,
beside,Prepositions &locations,,
better, Descriptive words,,
bib,Clothing,,
big, Descriptive words,,
bike,Vehicles,,
bird,Animals,,
biscuit,Food & Drink,,
bite,Action words,,
black, Descriptive words,,
blanket,Small household items,,
block,Toys,,
blow,Action words,,
blue, Descriptive words,,
boat,Vehicles,,
book,Toys,,
boots,Clothing,,
bottle,Small household items,,
bowl,Small household items,,
box,Small household items,,
boy,People,,
bread,Food & Drink,,
breakfast,Games & Routines,,
breakfast,Action words,,
bring,Action words,,
broken, Descriptive words,,
broom,Small household items,,
brother,People,,
brown, Descriptive words,,
brush,Small household items,,
bubbles,Toys,,
bucket,Small household items,,
build,Action words,,
bump,Action words,,
bunny,Animals,,
bus,Vehicles,,
but,Conecting words,,
